FirstName;LastName;PhoneNumber;Address;Gender;Nationality;ValidDate
Johnny;Dillinger;380637654321;Chicago;Male;American;09/29/2023
Emmet;Brown;3809876543211;Hill Valley;Male;American;10/04/2028
Monica;Geller;380634321234;New York;Female;American;12/30/2028
Marty;McFly;3809376543211;Hill Valley;Male;American;11/24/2029
Jessy;Pinkman;380637777777;Albuquerque;Male;American;11/04/2027
Marge;Simpson;380988887711;Springfield;Female;American;02/19/2031
Frank;Drebin;380631111111;Detroit;Male;American;10/04/2028
Rachel;Green;380977654123;New York;Female;American;06/24/2030
Walter;White;380971234567;Albuquerque;Male;American;10/04/2023
John;McClane;380977654321;Los Angeles;Male;Irish;10/04/2028
Jack;Sparrow;380631234567;Caribbean Sea;Male;Spanish;10/04/2028
Kevin;McCallister;380931234567;Winnetka Illinois;Maale;American;10/04/2026
Ace;Ventura;380677777777;Miami;Male;American;10/04/2023
